origem_ponto,origem_lat,origem_long,destino_ponto,destino_lat,destino_long
"Teatro Santander, São Paulo, SP, Brasil",-23.5928491,-46.6943788,"Liberdade, São Paulo, SP, Brasil",-23.5653114,-46.6426594
"Teatro Santander, São Paulo, SP, Brasil",-23.5928491,-46.6943788,"Hospital São Luiz, São Paulo, SP, Brasil",-23.5921253,-46.6802154
"Teatro Santander, São Paulo, SP, Brasil",-23.5928491,-46.6943788,"Shopping Jardins, São Paulo, SP, Brasil",-23.56470355,-46.66918029340085
"Teatro Santander, São Paulo, SP, Brasil",-23.5928491,-46.6943788,"Avenida Brigadeiro Faria Lima, São Paulo, SP, Brasil",-23.567437,-46.6931773
"Teatro Santander, São Paulo, SP, Brasil",-23.5928491,-46.6943788,"Parque do Ibirapuera, São Paulo, SP, Brasil",-23.58771265,-46.65852139371083
"Teatro Santander, São Paulo, SP, Brasil",-23.5928491,-46.6943788,"Shopping Interlagos, São Paulo, SP, Brasil",-23.6717075,-46.6778286
"Teatro Santander, São Paulo, SP, Brasil",-23.5928491,-46.6943788,"Hospital das Clínicas, São Paulo, SP, Brasil",-23.557827,-46.6727323
"Teatro Santander, São Paulo, SP, Brasil",-23.5928491,-46.6943788,"Shopping Center Norte, São Paulo, SP, Brasil",-23.5162851,-46.61803653103877
"Teatro Santander, São Paulo, SP, Brasil",-23.5928491,-46.6943788,"Parque da Juventude, São Paulo, SP, Brasil",-23.50737775,-46.62177797548021
"Teatro Santander, São Paulo, SP, Brasil",-23.5928491,-46.6943788,"Mercado Municipal de São Paulo, São Paulo, SP, Brasil",-23.54173325,-46.62952437380088
"Teatro Santander, São Paulo, SP, Brasil",-23.5928491,-46.6943788,"Shopping Metrô Tatuapé, São Paulo, SP, Brasil",-23.541689,-46.57704635126976
"Teatro Santander, São Paulo, SP, Brasil",-23.5928491,-46.6943788,"Senac Nações Unidas, São Paulo, SP, Brasil",-23.6698233,-46.7017363
"Teatro Santander, São Paulo, SP, Brasil",-23.5928491,-46.6943788,"Hospital São Camilo, São Paulo, SP, Brasil",-23.5339296,-46.6931917
"Teatro Santander, São Paulo, SP, Brasil",-23.5928491,-46.6943788,"Shopping Vila Maria, São Paulo, SP, Brasil",-23.5919413,-46.7600413
"Teatro Santander, São Paulo, SP, Brasil",-23.5928491,-46.6943788,"Igreja Nossa Senhora do Brasil, São Paulo, SP, Brasil",-23.56946695,-46.67277716373626
"Teatro Santander, São Paulo, SP, Brasil",-23.5928491,-46.6943788,"Parque da Água Branca, São Paulo, SP, Brasil",-23.5303306,-46.66953612685586
