Local,Latitude,Longitude
"Praça da Sé, São Paulo, SP, Brasil",-23.5503898,-46.6330809
"Teatro Santander, São Paulo, SP, Brasil",-23.5928491,-46.6943788
"Liberdade, São Paulo, SP, Brasil",-23.5653114,-46.6426594
"Hospital São Luiz, São Paulo, SP, Brasil",-23.5921253,-46.6802154
"Shopping Jardins, São Paulo, SP, Brasil",-23.564703549999997,-46.66918029340085
"Avenida Brigadeiro Faria Lima, São Paulo, SP, Brasil",-23.567437,-46.6931773
"Parque do Ibirapuera, São Paulo, SP, Brasil",-23.58771265,-46.65852139371083
"Shopping Interlagos, São Paulo, SP, Brasil",-23.6717075,-46.6778286
"Hospital das Clínicas, São Paulo, SP, Brasil",-23.557827,-46.6727323
"Shopping Center Norte, São Paulo, SP, Brasil",-23.5162851,-46.61803653103877
"Parque da Juventude, São Paulo, SP, Brasil",-23.50737775,-46.621777975480214
"Mercado Municipal de São Paulo, São Paulo, SP, Brasil",-23.54173325,-46.629524373800876
"Shopping Metrô Tatuapé, São Paulo, SP, Brasil",-23.541688999999998,-46.57704635126976
"Senac Nações Unidas, São Paulo, SP, Brasil",-23.6698233,-46.7017363
"Hospital São Camilo, São Paulo, SP, Brasil",-23.5339296,-46.6931917
"Shopping Vila Maria, São Paulo, SP, Brasil",-23.5919413,-46.7600413
"Igreja Nossa Senhora do Brasil, São Paulo, SP, Brasil",-23.56946695,-46.672777163736264
"Parque da Água Branca, São Paulo, SP, Brasil",-23.5303306,-46.66953612685586
"Shopping Penha, São Paulo, SP, Brasil",-23.5251778,-46.54675185766971
"Museu do Futebol, São Paulo, SP, Brasil",-23.5474227,-46.6654699
"Instituto Butantan, São Paulo, SP, Brasil",-23.56699385,-46.72040888262042
"Parque Villa-Lobos, São Paulo, SP, Brasil",-23.5439238, -46.725835
"Centro Cultural São Paulo, São Paulo, SP, Brasil",-23.5700325,-46.64023039547913
"Universidade de São Paulo (USP, Portão 1), São Paulo, SP, Brasil",-23.56663, -46.7091
"Igreja de São Bento, São Paulo, SP, Brasil",-23.5439504,-46.6366131
"Praça Roosevelt, São Paulo, SP, Brasil",-23.54869465,-46.64678129316892
"Rua Augusta, São Paulo, SP, Brasil",-23.559829,-46.6619973
"Teatro Municipal de São Paulo, São Paulo, SP, Brasil",-23.54528045,-46.6386378327257
"Edifício Itália, São Paulo, SP, Brasil",-23.54552955,-46.64357659411765
"Biblioteca Mário de Andrade, São Paulo, SP, Brasil",-23.54738975,-46.64210482783021
"Sambódromo do Anhembi, São Paulo, SP, Brasil",-23.5201591,-46.646941
"Estação da Luz, São Paulo, SP, Brasil",-23.53512225,-46.63539301511077
"Museu de Arte de São Paulo (MASP), São Paulo, SP, Brasil",-23.561409,-46.6607528
"Centro Cultural Banco do Brasil, São Paulo, SP, Brasil",-23.5475552,-46.6346871
"Parque da Independência, São Paulo, SP, Brasil",-23.58068085,-46.6093112
"Conjunto Nacional, São Paulo, SP, Brasil",-23.55904075,-46.66023550128296
"UPA - Vila Santa Catarina, São Paulo, SP, Brasil",-23.6567612,-46.6561865
"Teatro J. Safra, São Paulo, SP, Brasil",-23.5163523,-46.6792215
"Parque Ecológico do Tietê, São Paulo, SP, Brasil",-23.50206745,-46.53855120749404
"Shopping Aricanduva, São Paulo, SP, Brasil",-23.565902,-46.503074910405076
"Sesc Itaquera, São Paulo, SP, Brasil",-23.58095,-46.468638095570725
"Parque do Carmo, São Paulo, SP, Brasil",-23.5787082,-46.458056
"Shopping Metrô Itaquera, São Paulo, SP, Brasil",-23.540761449999998,-46.47049279786765
"Estádio do Corinthians (NeoQuimica Arena), São Paulo, SP, Brasil",-23.5453084,-46.4791001
"Centro de Exposições Imigrantes, São Paulo, SP, Brasil",-23.643963149999998,-46.629504947154565
"Pico do Jaraguá, São Paulo, SP, Brasil",-23.458333,-46.765278
"Avenida Paulista, São Paulo, SP, Brasil",-23.5558612,-46.6625362
"Edifício Copan, São Paulo, SP, Brasil",-23.54659435,-46.64453306171171
"Continental Shopping, São Paulo, SP, Brasil",-23.547523,-46.7621955
"Rua Vinte e Cinco de Março, São Paulo, SP, Brasil",-23.5392837,-46.6320647
